income,employement_status,age,education_level,state,risk
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Australian Capital Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,Northern Territory,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,South Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Victoria,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Western Australia,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
100341,Permenant Full Time,28,DNF High School Education,Tasmania,2.0
158026,Unemployment,52,DNF High School Education,Victoria,1.0
160181,Permenant Full Time,66,DNF High School Education,Northern Territory,1.0
105512,Casual/Part time,34,DNF High School Education,New South Wales,1.25
84391,Unemployment,73,High School/Diploma,Victoria,1.25
199680,Casual/Part time,22,Degree+,New South Wales,1.5
53612,Permenant Full Time,42,High School/Diploma,Victoria,1.5
149484,Casual/Part time,27,Degree+,Australian Capital Territory,1.5
161043,Unemployment,51,High School/Diploma,Queensland,1.0
88328,Unemployment,54,High School/Diploma,Northern Territory,1.25
75690,Casual/Part time,56,High School/Diploma,Tasmania,1.25
184910,Casual/Part time,47,High School/Diploma,Queensland,1.0
138892,Unemployment,71,DNF High School Education,South Australia,1.0
76162,Unemployment,70,DNF High School Education,Australian Capital Territory,1.25
44625,Casual/Part time,57,High School/Diploma,Australian Capital Territory,1.5
114208,Casual/Part time,15,High School/Diploma,Western Australia,1.5
92213,Permenant Full Time,69,High School/Diploma,Australian Capital Territory,1.25
127623,Unemployment,71,DNF High School Education,Northern Territory,1.0
147425,Casual/Part time,65,DNF High School Education,Northern Territory,1.0
171275,Unemployment,62,High School/Diploma,New South Wales,1.0
159279,Permenant Full Time,84,Degree+,Australian Capital Territory,1.0
52655,Permenant Full Time,74,Degree+,Australian Capital Territory,1.25
183408,Unemployment,72,High School/Diploma,Queensland,1.0
183611,Permenant Full Time,45,DNF High School Education,Northern Territory,1.0
62924,Permenant Full Time,40,High School/Diploma,New South Wales,1.5
56367,Casual/Part time,31,Degree+,Queensland,1.5
101991,Unemployment,55,Degree+,New South Wales,1.0
72025,Unemployment,20,High School/Diploma,Northern Territory,1.75
118518,Casual/Part time,24,High School/Diploma,Queensland,1.5
13501,Casual/Part time,65,High School/Diploma,Australian Capital Territory,1.5
119325,Unemployment,84,Degree+,Victoria,1.0
48408,Casual/Part time,37,Degree+,Western Australia,1.75
34845,Casual/Part time,85,Degree+,Western Australia,1.5
41868,Casual/Part time,68,High School/Diploma,Australian Capital Territory,1.5
140376,Casual/Part time,25,High School/Diploma,South Australia,1.5
197171,Permenant Full Time,45,Degree+,Western Australia,1.0
147451,Casual/Part time,32,Degree+,Queensland,1.25
69298,Casual/Part time,64,High School/Diploma,South Australia,1.25
113907,Casual/Part time,45,High School/Diploma,Western Australia,1.0
182557,Casual/Part time,81,Degree+,Victoria,1.0
96407,Casual/Part time,37,DNF High School Education,Queensland,1.5
69711,Casual/Part time,63,High School/Diploma,South Australia,1.25
130146,Permenant Full Time,37,DNF High School Education,Tasmania,1.25
103432,Permenant Full Time,40,DNF High School Education,New South Wales,1.25
194033,Unemployment,35,DNF High School Education,Western Australia,1.25
35911,Permenant Full Time,45,High School/Diploma,Victoria,1.5
82145,Unemployment,50,DNF High School Education,Northern Territory,1.25
41308,Unemployment,37,Degree+,New South Wales,1.75
51416,Casual/Part time,22,Degree+,Tasmania,1.75
81242,Permenant Full Time,85,Degree+,Western Australia,1.25
50386,Permenant Full Time,16,DNF High School Education,Australian Capital Territory,1.75
